Year,Population,Elderly (%),GDP per Capita,Hospital Beds,Doctors per 1000,Smoking Rate,Mortality Rate,Life Expectancy
2015,138322,3.77,2391.01,1.06,0.26,20.3,29.37,35.18
2023,666951,7.45,1579.57,0.88,0.47,36.91,16.17,47.55
1996,21303,11.85,1260.55,0.66,0.45,48.72,22.99,41.33
1993,171633,11.37,1576.2,1.03,0.71,37.71,19.55,54.46
2000,343863,2.43,1436.74,1.12,0.48,49.29,20.89,38.87
2018,259690,3.65,1969.31,1.51,0.32,29.32,17.69,41.92
2014,794108,3.32,921.49,1.49,0.68,52.53,23.67,42.16
2010,109616,9.26,1076.71,0.61,0.85,43.54,29.37,35.17
1999,920597,10.18,2267.01,1.09,0.51,28.43,22.55,51.78
1998,96231,4.14,2382.2,0.77,0.31,29.47,16.24,35.64
2013,279458,7.06,2263.63,0.74,0.36,45.12,24.3,53.8
2024,29623,10.41,1222.79,1.74,0.39,53.2,20.1,52.84
2024,733035,9.33,2016.8,0.56,0.44,36.63,27.84,45.71
2007,500042,7.42,1347.94,1.13,0.71,30.33,21.52,45.87
2021,468298,7.9,1394.59,0.75,0.68,54.68,17.89,48.08
2013,486840,7.08,750.3,1.82,0.76,46.77,17.87,42.74
2012,115228,4.98,1600.49,1.34,0.49,37.92,26.53,47.94
2021,436346,7.65,709.5,0.85,0.86,39.52,18.98,35.9
2001,717116,8.89,1029.44,1.25,0.36,28.17,26.51,36.08
2002,894056,10.73,2181.07,1.6,0.58,45.07,18.09,44.14
2012,691652,8.36,755.57,1.94,0.84,34.35,19.83,45.99
2014,908217,9.61,456.55,0.83,0.34,59.83,21.98,52.76
2024,530547,3.6,451.82,1.83,0.29,39.21,29.15,37.09
2019,882638,6.62,2369.73,1.9,0.91,39.44,28.98,51.45
2006,79274,2.09,1415.22,1.87,0.47,42.63,18.1,39.2
2009,143541,4.47,1200.71,1.45,0.75,56.67,20.37,42.88
2014,63947,9.26,2083.93,1.44,0.22,52.03,17.24,41.33
2011,687894,11.92,2138.82,1.1,0.75,38.05,22.65,43.0
2002,204692,2.99,1030.82,1.63,0.45,48.75,21.91,38.01
2008,58874,6.01,1825.96,1.3,0.24,43.45,28.51,45.07
2001,583996,10.0,1996.47,1.52,0.69,39.69,28.95,51.03
2008,84553,4.04,1740.23,1.14,0.39,27.69,20.75,43.83
2001,602632,7.55,633.51,1.6,0.51,38.56,22.38,44.81
1998,845570,9.33,2226.94,1.74,0.26,29.83,28.44,51.98
1996,719662,8.16,1486.01,0.72,0.32,56.59,27.1,49.12
2017,581926,3.88,921.44,1.75,0.44,33.42,15.05,44.81
2003,88249,5.55,1235.5,1.31,0.27,58.09,19.8,40.15
2020,902297,9.84,382.66,1.77,0.93,41.32,21.33,52.7
2008,537007,7.54,581.31,1.15,0.2,45.26,18.45,46.54
2005,688250,2.05,1984.2,1.07,0.59,41.72,17.99,39.42
1994,480452,9.61,300.03,1.87,0.3,25.18,15.57,40.38
2024,439725,2.35,1216.44,0.88,0.45,35.03,24.65,51.06
2001,52534,9.46,1449.52,1.77,0.94,23.97,18.94,35.88
2014,505518,4.02,420.2,1.23,0.33,44.92,15.79,54.84
2010,626529,11.58,2440.77,1.27,0.97,37.87,18.46,37.61
2012,422003,5.68,797.48,0.96,0.36,51.12,27.03,50.92
2005,136209,5.27,969.24,1.36,0.79,28.82,27.77,42.9
2003,452061,3.49,968.67,0.99,0.64,26.58,22.25,44.84
2020,199004,5.06,806.92,0.56,0.91,36.25,21.24,52.61
1994,626412,10.77,303.24,0.91,0.64,57.06,29.67,43.26
2024,625947,11.96,1904.56,0.51,0.63,48.42,18.01,45.75
2012,174134,5.68,2427.06,1.97,0.36,36.76,18.23,35.99
2018,85713,6.49,793.45,1.95,0.33,40.69,19.38,35.05
2000,752623,9.22,1758.7,1.09,0.93,23.37,17.59,39.9
2007,498972,10.86,1932.17,1.59,0.46,59.38,20.69,48.61
2001,987965,7.93,2166.54,1.02,0.5,46.66,28.66,37.43
1998,85418,5.92,1229.78,1.51,0.81,31.42,24.23,37.28
1999,994176,6.13,966.45,1.71,0.47,43.43,21.18,43.22
2006,138232,8.96,1015.65,1.92,0.96,24.38,29.02,47.96
1996,962336,2.03,1867.77,1.1,0.79,58.63,15.73,49.24
2002,530551,8.2,2096.91,1.67,0.68,26.99,18.15,38.57
1998,173038,5.55,699.55,0.9,0.9,45.92,23.49,36.59
2016,940491,9.94,1116.07,1.99,0.24,29.82,24.23,53.81
1991,178383,2.93,2284.27,0.54,0.41,48.7,15.59,40.21
1994,828007,7.88,2074.73,1.41,0.57,51.07,21.05,52.07
2018,335996,6.81,2466.69,1.49,0.38,46.94,24.74,52.27
2008,268722,8.42,1959.35,1.53,0.8,44.58,25.47,50.45
1997,142079,2.65,1165.03,0.68,0.94,55.7,24.57,38.38
1990,212053,7.8,1599.4,1.91,0.54,23.15,19.81,51.44
2011,610530,7.61,1754.23,0.77,0.47,33.24,16.4,50.39
2006,188589,7.61,472.6,1.43,0.97,29.93,21.41,46.93
1996,513238,8.03,1497.89,0.83,0.56,59.52,16.93,41.74
2014,39257,8.76,1860.51,0.96,0.59,35.58,29.21,40.25
1993,490488,10.05,668.11,1.32,0.48,49.3,22.13,37.44
1995,445423,4.7,2017.39,1.13,0.93,47.39,19.76,45.2
2020,154353,10.25,1584.3,0.74,0.66,28.48,26.49,46.71
2008,333390,6.98,2394.89,0.76,0.81,29.56,22.47,42.19
2016,273579,2.77,393.33,1.13,0.85,31.25,19.65,44.51
1999,239947,2.59,883.72,1.64,0.47,36.45,27.18,42.27
2015,241758,5.34,1623.42,1.85,0.55,29.37,28.01,47.82
2008,625645,9.85,952.43,0.63,0.88,20.79,25.1,53.03
1992,167732,9.08,1871.73,1.09,0.49,55.18,15.7,38.28
2002,932588,9.89,1969.81,0.65,0.84,58.62,23.49,42.63
2017,941011,7.17,525.54,0.52,0.95,33.66,26.45,37.82
2009,737955,6.4,1430.48,1.49,0.7,33.54,17.05,47.5
2017,618095,3.47,1419.56,1.4,0.79,20.28,18.43,49.58
1997,448755,5.28,1112.42,0.74,0.84,47.21,28.24,53.64
1990,912385,6.34,2352.43,0.85,0.88,53.02,15.3,40.58
1992,148563,2.89,2120.51,0.54,0.52,25.86,26.29,54.0
2002,793066,4.21,1833.86,1.75,0.24,26.39,22.11,36.27
2017,516047,7.98,1871.52,1.96,0.52,51.6,21.7,47.06
2014,715552,9.36,1315.78,0.7,0.74,44.65,15.11,36.14
2022,920229,11.98,2326.19,0.85,0.56,21.79,27.29,52.88
1995,336032,11.33,1828.11,1.8,0.8,44.9,20.4,45.6
2021,607897,8.43,1903.76,1.89,0.49,32.36,23.11,48.39
2010,805509,6.21,2195.72,1.13,0.71,34.75,25.16,51.63
2005,782800,8.36,902.96,0.58,0.35,50.79,25.54,38.01
2010,263973,9.86,2075.56,0.56,0.8,52.44,29.34,35.77
2000,293097,3.18,729.53,1.36,0.64,36.01,22.97,52.58
2024,386826,6.1,1059.75,1.09,0.36,57.89,21.0,41.3
2008,524257,10.4,1038.34,0.54,0.43,36.26,29.31,37.58
2009,864321,5.84,2452.76,1.37,0.8,50.87,24.63,44.37
2007,689181,7.72,2184.38,0.52,0.59,39.36,19.47,46.97
2003,440783,7.88,1842.57,1.68,0.37,55.9,16.9,35.62
2004,125374,3.84,1899.52,0.96,0.97,56.31,27.64,40.5
2020,559148,5.62,1536.56,0.56,0.77,23.5,20.43,35.66
1990,686555,5.35,2383.6,1.38,0.97,57.46,24.91,43.41
1992,611763,2.26,1391.77,1.1,0.54,53.02,22.06,52.9
2005,494090,2.24,1137.14,1.96,0.58,51.65,17.98,54.65
2012,883698,10.32,658.68,1.32,0.92,28.04,24.03,47.74
2000,686787,4.73,2029.65,0.91,0.62,52.2,15.91,38.23
2001,897164,7.18,1915.78,1.56,0.77,54.01,21.2,53.12
1999,299227,4.99,1145.58,0.91,0.4,31.57,23.2,45.32
2021,752406,11.41,355.43,1.86,0.56,58.09,21.54,38.07
2005,853804,4.59,2145.79,1.06,0.3,21.99,26.23,53.43
1997,658074,6.3,325.12,1.32,0.36,26.0,27.42,50.15
2001,971568,10.73,1848.14,0.58,0.2,41.5,26.57,49.63
2013,542101,10.42,2434.57,1.14,0.23,43.03,15.58,49.18
2017,41598,3.86,1262.85,1.75,0.98,45.81,17.91,39.01
1997,515934,10.03,816.94,1.71,0.39,20.68,23.05,39.22
2017,792239,6.58,1850.72,0.84,0.73,58.41,29.02,48.77
2015,627394,6.83,2097.68,0.84,0.87,21.78,27.52,39.39
1997,299226,3.33,1502.15,1.73,0.64,25.72,27.64,43.77
2017,825673,2.81,2427.48,1.9,0.32,20.56,19.55,50.64
2017,237286,9.28,413.67,0.64,0.78,42.67,21.44,50.68
2016,447785,6.96,1410.55,1.18,0.68,57.29,22.06,44.07
2006,21745,6.37,1880.6,1.01,0.79,46.64,17.36,50.84
1998,822461,9.3,2197.81,1.81,0.82,52.91,15.47,51.77
2022,154097,9.66,694.36,0.63,0.98,20.53,29.2,48.1
2009,242732,3.59,2060.01,0.82,0.66,41.68,18.61,39.57
2002,919827,8.1,1515.96,1.63,0.47,38.38,18.6,40.48
2017,679648,3.35,1172.42,0.58,0.72,39.96,16.25,41.3
2018,623474,9.51,589.77,1.24,0.25,22.89,28.93,37.34
2002,934044,8.57,2203.65,1.16,0.92,47.38,23.7,40.46
2024,894200,11.57,646.0,1.0,0.3,40.13,25.01,39.19
1995,223030,2.69,981.53,1.09,0.46,50.61,28.67,44.11
2007,734238,2.57,938.1,1.29,0.85,39.41,20.18,53.17
1994,576134,4.82,2217.11,0.74,0.68,25.98,24.32,37.09
2014,348076,4.62,1779.95,1.36,0.51,45.93,15.58,49.41
1991,158554,4.47,2052.7,1.71,0.58,26.9,17.8,48.75
1999,295555,11.06,851.03,1.64,0.88,54.9,27.47,36.92
2019,454191,4.5,1674.72,0.73,0.47,44.52,26.5,53.45
1994,463761,4.72,1557.84,0.72,0.9,26.29,20.26,46.37
2022,515518,9.59,2132.23,0.9,0.27,58.49,20.65,42.27
1990,350941,6.5,2293.39,1.04,0.82,40.73,23.0,50.13
2007,324451,9.77,326.74,1.11,0.88,22.92,15.0,40.15
2021,930597,2.65,1782.84,1.52,0.35,45.07,18.62,48.87
2000,294186,6.88,414.04,0.59,0.54,30.13,18.12,35.79
2010,587218,2.34,1507.49,0.55,0.33,52.15,18.76,51.79
2015,782944,2.63,932.79,1.09,0.77,52.71,27.09,43.96
2014,447629,11.06,974.91,1.55,0.63,59.16,19.2,47.73
2011,778747,3.39,1076.51,0.79,0.71,40.07,17.87,39.42
2016,234695,7.32,1666.84,1.46,0.36,38.2,22.56,48.54
2002,894315,6.11,1034.91,0.89,0.37,50.14,27.98,50.44
2022,305900,5.47,1911.94,1.83,0.23,25.3,18.62,44.46
2023,63268,11.0,1189.96,1.84,0.46,41.88,16.18,47.35
2024,442430,2.22,450.38,0.95,0.65,41.85,20.35,44.13
1990,222943,8.64,2024.27,0.84,0.89,23.58,26.21,52.88
2010,793204,11.63,928.67,1.12,0.73,36.72,23.26,44.96
1995,431818,7.6,1252.09,0.86,0.55,54.13,27.25,51.84
2017,718691,11.37,1807.98,1.51,0.96,54.25,29.39,51.03
2006,583189,2.52,1031.4,1.74,0.78,23.97,26.89,43.21
1994,372130,6.19,424.49,1.51,0.94,23.63,24.06,39.6
2020,204488,4.6,1122.63,1.74,0.62,30.51,22.4,43.12
1994,697556,9.31,2377.79,1.1,0.41,54.99,15.6,51.52
1992,400530,11.81,1711.82,0.73,0.24,25.16,29.76,39.55
2012,802058,4.57,1777.25,1.61,0.78,48.8,20.75,45.49
1999,672784,8.54,1691.02,1.04,0.3,24.05,17.28,51.12
1999,809289,3.98,737.78,1.51,0.44,44.93,25.0,42.07
2008,251531,7.65,1220.33,0.91,0.63,34.24,19.26,47.84
2006,256693,6.64,1952.07,0.62,0.65,51.56,23.79,39.91
2010,947486,11.72,523.02,1.99,0.68,29.35,23.8,37.19
2003,929484,8.09,911.28,0.73,0.33,45.57,21.69,50.89
1998,713650,5.5,907.9,1.98,0.5,29.43,27.54,36.98
1990,560719,3.14,1250.44,1.97,0.69,48.55,18.97,40.43
2002,881408,3.51,2456.81,1.69,0.98,54.95,21.73,52.1
1993,248360,4.25,448.51,1.49,0.78,25.07,23.07,41.93
1990,354855,4.51,1441.14,1.37,0.94,54.66,24.95,54.46
2021,517403,10.51,694.6,1.8,0.81,43.74,26.76,54.59
2023,36385,7.61,2435.49,0.93,0.67,25.08,20.92,40.37
2017,441374,7.23,549.27,1.2,0.35,37.1,24.69,35.82
2020,426235,3.15,1187.92,1.43,0.73,26.43,17.26,49.1
1997,290783,10.6,1923.35,1.12,0.7,48.01,28.99,44.02
2015,95530,9.23,1850.02,1.14,0.68,50.35,20.75,37.02
2023,765271,2.68,1230.0,1.0,0.59,24.23,25.94,49.15
1992,293707,9.08,1062.35,1.35,0.62,40.25,15.31,35.62
2001,966845,7.44,1174.75,1.78,0.47,52.59,18.08,52.4
1990,387816,2.82,881.41,0.8,0.62,57.45,22.31,37.77
1994,933280,6.58,751.73,1.9,0.36,40.54,28.17,37.55
2019,439660,6.85,1362.69,1.53,0.84,58.01,22.91,38.51
2019,996420,3.66,890.77,1.73,0.35,41.43,28.95,54.21
2006,411927,11.46,932.42,1.33,0.27,35.77,22.26,48.86
2012,739678,10.5,1744.86,1.67,0.55,53.93,22.36,51.03
2004,355114,8.69,2430.78,0.52,0.73,39.72,16.8,42.95
2010,253373,6.62,1628.0,1.73,0.55,38.88,27.04,41.73
2003,357697,6.12,469.35,0.56,0.42,39.61,18.7,39.69
1991,171779,8.51,466.28,1.83,0.65,53.87,28.49,44.61
2000,180182,7.45,2393.13,1.99,0.48,53.28,28.66,46.04
2023,727148,2.62,954.04,0.94,0.95,36.14,29.15,47.64
2023,617167,7.13,502.55,0.82,0.94,33.33,22.8,40.14
2007,966331,10.06,1617.9,1.65,0.6,39.68,25.16,53.97
2019,248260,6.59,1672.03,0.88,0.46,42.91,26.68,38.4
2004,933159,2.52,1726.71,1.8,0.79,29.53,16.97,54.31
2016,841291,9.86,888.28,0.65,0.23,51.76,24.01,35.3
2023,981129,4.01,333.24,0.69,0.58,39.46,15.51,44.62
2022,848530,4.59,2423.03,1.97,0.47,33.36,22.46,41.67
2013,680611,3.65,851.96,1.51,0.94,24.27,17.32,43.98
2004,656701,5.3,1787.26,1.77,0.21,29.55,17.74,46.41
2019,796958,9.57,1854.59,0.99,0.64,57.97,20.48,43.71
2006,340904,7.19,1642.02,1.51,0.79,32.2,21.49,43.3
1994,57837,4.05,988.4,1.39,0.59,26.75,24.35,49.65
2018,528349,10.78,896.41,1.4,0.27,38.43,16.12,48.72
1993,794838,10.8,1614.87,1.52,0.98,32.28,22.56,51.67
1999,807968,10.71,2205.41,1.36,0.61,21.41,17.74,40.0
2006,562829,4.39,2382.81,1.14,0.69,32.93,23.61,47.19
1999,89083,6.51,532.99,0.91,0.39,41.76,24.56,46.7
2006,978531,11.85,640.62,1.65,0.59,42.07,23.35,42.39
2009,568819,9.72,2378.42,0.84,0.54,34.26,26.07,44.72
2013,280856,2.27,1920.38,1.54,0.26,37.89,20.03,41.28
1994,376245,2.65,2242.59,0.85,0.28,58.62,26.48,37.84
2023,861887,6.64,745.79,1.44,0.87,35.09,21.49,39.28
1995,609032,11.09,1592.69,1.62,0.39,30.33,22.26,37.11
1991,787147,7.39,1842.51,0.83,0.36,29.74,24.72,48.66
2002,664037,6.98,1796.25,0.59,0.6,38.31,15.28,48.21
2000,801541,3.05,1197.93,0.7,0.81,50.38,24.81,54.01
2012,845700,8.57,333.87,1.41,0.25,28.24,24.28,49.59
2005,766097,10.22,1582.44,1.77,0.66,48.37,19.65,36.04
2020,851047,5.8,856.82,0.57,0.3,20.85,16.29,52.68
2000,616791,9.76,1290.56,1.6,0.23,36.76,16.36,52.25
2005,264346,11.64,2406.68,1.01,0.24,51.03,28.85,43.87
1997,957263,4.04,1177.88,1.22,0.87,33.55,25.34,46.72
1993,619996,7.23,2147.56,1.89,0.29,42.55,16.91,54.52
1993,725472,4.87,714.79,1.0,0.24,28.2,20.35,45.65
2014,636759,9.93,1779.41,1.2,0.55,49.68,23.89,53.11
1992,788513,7.78,2449.42,0.52,0.88,22.09,27.53,36.66
2021,167661,8.35,524.16,0.62,0.41,54.1,15.65,38.82
1992,695375,9.98,318.3,0.89,0.54,27.93,18.55,43.82
2016,170081,5.96,1253.88,0.54,0.23,54.98,28.35,46.7
2018,879741,11.15,503.78,1.45,0.56,34.1,15.14,51.32
2021,398590,7.33,1946.45,1.14,0.66,48.91,18.02,54.77
2008,727406,3.58,2312.01,1.32,0.66,32.77,29.39,42.78
2010,903093,8.96,1254.85,0.76,0.47,56.24,24.2,35.95
1994,691503,9.93,869.17,0.94,0.45,25.07,18.93,51.02
2007,16154,5.17,1255.69,1.5,0.29,27.14,16.0,47.09
2017,687164,10.57,1891.59,1.95,0.49,39.72,15.42,38.97
2011,969192,11.06,319.92,0.58,0.28,23.28,18.67,44.9
2010,74288,4.77,1596.8,1.84,0.81,27.84,28.22,49.85
1995,61195,11.84,1649.24,1.37,0.97,57.75,21.24,50.41
1990,292725,3.41,1702.91,1.35,0.98,59.06,25.81,44.99
1994,455864,4.02,832.45,1.25,0.89,35.05,28.77,41.1
2001,302231,3.84,1870.92,0.6,0.68,56.93,21.12,54.47
2015,715290,10.94,501.06,0.63,0.76,41.79,17.87,48.27
2023,174053,8.54,738.39,1.4,0.43,30.79,22.76,43.16
2003,603586,3.52,2230.43,1.01,0.7,48.1,28.62,40.61
2015,842599,6.4,1925.19,1.88,0.56,46.36,27.07,49.62
2016,740664,8.15,330.24,1.11,0.59,59.57,15.99,39.84
1998,446624,2.83,846.43,0.71,0.81,30.6,25.39,38.43
2015,49499,10.82,771.69,1.57,0.43,46.88,23.58,45.6
2011,397960,10.04,895.77,0.94,0.45,22.08,28.61,40.8
2019,455485,7.05,844.63,1.29,0.94,24.55,16.84,47.58
2006,703919,11.67,437.56,1.55,0.24,20.16,23.01,37.36
2015,255198,6.18,1309.67,1.85,0.59,59.98,28.19,48.1
1990,477535,11.84,1912.01,1.69,0.93,52.09,21.15,40.67
1997,777285,8.68,1634.81,1.51,0.69,51.47,22.23,35.0
2024,630635,8.35,1780.32,1.52,0.64,40.39,16.06,37.54
2004,320931,3.66,478.53,1.92,0.4,32.0,19.17,53.67
2011,307632,10.82,2393.28,0.94,0.47,26.05,19.87,52.35
2003,346585,6.27,2144.68,0.5,0.88,31.39,29.18,39.67
2015,740023,3.62,2071.2,0.91,0.65,35.04,19.24,50.57
2017,32431,2.13,2110.56,0.83,0.61,50.25,21.91,47.17
2012,333825,7.6,2351.96,1.49,0.28,41.59,25.07,54.42
2003,204555,7.27,1497.36,1.45,0.21,23.1,17.43,42.47
2013,657008,9.19,740.62,1.39,0.97,20.72,22.3,48.63
1991,583441,10.9,1656.92,0.52,0.5,24.09,26.08,36.27
2015,278512,2.79,1934.34,1.59,0.68,36.42,28.0,42.92
2003,954928,9.31,1923.42,0.99,0.26,57.33,24.39,54.28
1996,908792,3.87,1447.19,1.5,0.75,45.5,25.04,45.78
1992,186076,10.58,450.61,1.33,0.95,52.07,16.89,40.76
2012,229724,10.19,1116.45,1.01,0.66,38.65,29.19,37.41
2007,909187,7.41,2325.69,0.7,0.3,34.47,16.99,49.07
2024,591273,9.1,1585.79,0.64,0.67,24.34,26.62,47.9
2004,846501,5.14,1484.33,1.75,0.81,55.04,18.97,42.48
2014,324470,6.71,891.48,1.88,0.53,51.33,29.0,54.02
2017,643025,10.22,1110.59,1.47,0.9,26.72,25.8,35.44
1999,746421,6.59,2269.76,0.66,0.72,40.49,26.31,41.07
2006,688758,5.58,1766.22,1.1,0.92,39.49,18.29,53.42
2011,763753,6.94,2032.25,1.59,0.7,45.0,21.65,41.42
2015,60861,10.28,1299.56,1.67,0.31,57.85,24.27,40.05
2014,348041,5.35,1686.54,0.68,0.45,43.19,26.55,45.68
2006,222977,3.74,846.44,0.5,0.36,41.61,16.56,51.48
2002,661406,9.12,1852.01,1.57,0.93,22.01,29.44,37.06
2009,865009,10.26,1240.72,1.03,0.81,22.52,28.35,53.86
2014,731001,3.01,1273.6,0.88,0.74,27.49,19.06,50.9
1993,19078,4.4,1728.51,0.52,0.44,21.3,27.34,38.63
1999,952507,3.42,2359.82,1.31,0.35,49.73,22.77,49.24
1992,334912,5.48,440.81,1.78,0.81,48.93,21.93,42.7
2007,585335,6.5,2114.44,1.94,0.58,25.44,19.72,43.05
2011,868058,9.49,943.24,1.35,0.38,53.44,23.71,50.67
2023,854092,8.51,1276.62,1.27,0.69,26.19,25.95,54.26
1997,769746,8.21,348.21,0.63,0.23,32.05,21.16,37.53
2008,977290,5.52,962.3,1.32,0.46,29.96,24.44,43.41
1995,405141,10.41,1405.79,1.07,0.57,34.89,25.49,44.62
2015,225048,6.71,423.59,1.41,0.32,30.19,25.67,42.53
2023,770581,11.79,1380.41,1.08,0.99,39.56,15.78,42.26
1995,652120,8.34,2339.64,0.86,0.37,36.3,27.9,36.05
2022,926838,3.26,531.87,0.64,0.3,59.46,21.87,48.71
2011,659438,8.76,1981.77,0.97,0.36,22.24,18.94,43.72
2010,167087,5.25,1201.28,0.64,0.82,25.69,18.63,38.9
1995,43320,8.86,1741.38,0.77,0.54,22.11,22.25,51.32
1995,337025,2.7,872.52,1.98,0.65,45.03,28.3,51.05
1993,625115,3.75,650.88,1.17,0.22,22.18,20.68,44.73
2019,523287,10.56,653.02,1.3,0.23,53.46,26.25,40.97
2000,374359,4.27,455.08,1.81,0.56,40.48,16.45,47.76
2019,953793,10.37,708.42,1.99,0.85,41.08,22.14,40.76
2020,269931,4.79,1761.28,1.37,0.91,42.46,29.88,39.72
2013,930893,8.43,2239.72,1.72,0.27,26.83,26.56,49.61
1998,953187,8.94,2091.08,0.99,0.63,27.91,18.16,35.81
1992,416845,7.13,1807.3,0.96,0.93,32.75,22.52,36.9
2020,857982,5.05,542.95,1.1,0.51,43.74,18.5,35.14
2013,559114,4.13,936.21,1.51,0.86,28.4,21.14,38.06
2020,110734,2.33,981.58,1.52,0.31,24.65,26.7,36.38
1995,167702,5.04,849.91,0.97,0.95,58.8,26.57,54.92
1991,764122,8.53,1433.01,0.7,0.8,20.88,18.42,40.78
2009,187235,11.38,1478.22,1.45,0.95,52.11,28.83,37.99
2017,108511,10.71,1085.15,0.69,0.74,51.52,23.89,39.82
2000,993939,9.66,1078.34,1.37,0.49,31.89,20.7,53.72
1993,283797,9.88,2122.82,1.54,0.95,25.43,22.53,45.4
2004,693321,8.65,2036.44,1.55,0.42,25.83,24.08,42.3
1995,616229,4.6,977.15,1.63,0.47,47.9,23.4,52.47
2019,739497,11.07,2310.33,1.81,0.76,45.71,22.3,42.9
1991,830094,8.71,2396.19,1.25,0.81,51.31,22.57,41.7
2004,108818,7.6,1018.83,1.6,0.94,57.5,17.65,39.15
2000,983950,3.11,1079.73,1.43,0.36,47.68,27.19,42.56
1997,162360,6.47,1412.4,0.78,0.84,26.23,23.13,41.33
2015,787915,6.6,2370.47,0.54,0.79,29.74,16.97,48.55
1994,629369,10.65,2227.9,0.93,0.25,53.69,26.49,40.79
1995,571165,7.47,525.65,1.16,0.51,28.37,28.99,46.54
2015,383706,5.8,1164.01,1.43,0.43,22.9,29.21,36.32
1993,942817,11.77,1517.42,1.77,0.44,48.13,20.54,38.83
2008,221957,3.11,1406.89,0.79,0.99,36.1,17.03,43.15
2009,82715,6.23,726.5,0.69,0.71,56.8,22.78,53.74
2022,151398,2.42,2189.4,1.95,0.77,46.01,16.69,42.55
2009,644379,9.4,1789.27,0.66,0.98,23.62,29.01,48.28
2001,529052,11.18,2143.4,1.22,0.5,57.91,17.75,40.1
1990,142632,4.8,2189.28,1.38,0.84,30.34,18.79,37.54
2015,875580,10.58,1946.38,1.31,0.55,33.49,21.1,36.17
2003,93186,4.92,1266.26,0.63,0.9,36.09,20.75,41.11
2000,954249,11.11,1643.2,0.59,0.34,22.05,26.92,38.15
2002,697250,9.54,652.8,0.66,0.96,39.86,21.84,38.48
1992,161094,10.05,1782.02,1.38,0.38,24.93,17.56,50.22
2022,920061,2.18,694.36,1.32,0.46,36.04,19.01,35.32
1995,980083,11.63,1826.69,0.85,0.8,34.03,22.64,46.16
1999,604604,9.27,805.12,1.46,0.52,50.91,17.21,42.59
1994,38380,5.05,558.61,1.73,0.69,52.13,24.17,45.13
2012,644486,10.29,663.63,0.56,0.56,26.14,23.49,46.26
1999,274500,4.82,304.38,1.25,0.79,34.66,25.72,41.27
1991,80326,10.73,1881.23,1.53,0.38,34.93,29.07,40.9
2002,888879,3.13,1911.28,0.88,0.25,26.06,28.68,49.67
1991,649282,9.04,1432.85,0.96,0.44,51.94,29.19,52.43
2009,230971,7.41,655.0,1.42,0.58,48.29,18.67,38.85
1990,816481,2.97,483.82,1.85,0.33,27.62,16.97,36.95
1998,478933,4.42,342.08,1.71,0.48,34.67,19.53,52.96
2006,901793,2.12,664.65,1.37,0.52,24.23,28.43,42.0
1998,812514,6.69,2259.88,1.6,0.25,45.13,29.58,46.03
2000,797093,5.01,831.38,1.05,0.67,24.85,27.89,42.19
2004,178484,7.98,1079.4,1.46,0.91,59.44,16.65,37.52
2013,799352,4.97,531.76,1.2,0.32,51.23,29.21,46.79
2024,494410,5.0,789.19,0.78,0.68,35.61,21.35,45.5
2019,779666,9.43,1442.29,1.55,0.73,43.14,15.14,39.06
2020,987819,2.48,1637.06,1.33,0.54,56.45,21.64,44.04
1994,351705,11.03,839.78,1.04,0.76,42.16,15.69,50.94
2003,805378,10.52,427.01,1.87,0.53,26.98,23.16,46.81
2000,235314,8.68,1160.27,0.53,0.6,35.15,20.08,36.94
1998,448716,7.93,815.25,0.97,0.21,53.73,22.1,45.96
2023,769900,10.92,783.02,0.59,0.75,45.77,24.2,49.05
2001,812741,3.85,2411.7,1.65,0.73,46.03,28.03,50.85
2024,589518,2.79,1655.86,1.55,0.23,54.67,24.93,47.58
2024,908254,4.4,1525.13,1.0,0.49,55.76,21.51,38.05
1990,501872,9.95,1214.71,1.51,0.98,56.79,27.29,49.2
2011,526998,2.35,1243.68,1.09,0.54,23.79,28.58,48.55
2018,957531,7.83,1489.99,1.63,0.6,41.77,16.8,35.49
1997,529984,11.95,1832.15,1.18,0.93,49.62,22.98,43.23
2000,475757,10.56,1844.72,1.12,0.77,50.28,19.27,41.66
2003,384484,7.21,677.73,1.9,0.67,44.27,15.71,48.39
2019,518062,2.64,1400.25,0.88,0.84,26.67,25.03,39.32
2024,593609,10.31,1206.31,0.68,0.89,51.9,27.94,46.82
2010,142028,7.99,2215.16,1.38,0.57,48.8,17.44,53.26
1994,241447,3.15,1689.12,1.95,0.58,23.45,27.19,50.96
2008,870563,2.94,1471.51,1.07,0.51,38.55,27.8,53.43
2003,451124,11.1,553.87,0.59,0.97,26.96,28.72,54.57
2015,822395,8.69,1632.4,1.01,0.76,33.5,18.98,35.21
1993,636045,10.29,557.85,1.26,0.27,20.72,28.56,47.45
2014,442659,10.79,1041.85,0.74,0.89,36.01,19.81,43.26
2014,895691,7.72,614.25,1.49,0.58,42.0,23.29,52.2
2007,311207,7.17,1822.56,2.0,0.26,44.78,15.76,40.04
1997,386369,6.3,753.75,1.18,0.64,46.54,15.66,54.62
2003,388544,5.17,1162.09,1.03,0.53,53.45,25.81,47.27
2021,352962,6.35,2270.48,1.1,0.9,28.62,21.67,50.87
2022,276847,9.74,749.5,0.67,0.36,24.82,18.84,36.71
2012,730488,8.02,1417.17,1.82,0.86,54.06,17.86,38.67
2004,606387,10.93,1222.4,1.12,0.65,26.26,25.05,50.17
2022,429065,6.43,339.87,1.08,0.24,58.99,15.01,35.44
